entity,classes
!!!,{'Band'}
!K7_Music,{'RecordLabel'}
%22Heroes%22_(David_Bowie_album),{'Album'}
%22Heroes%22_(David_Bowie_song),"{'Single', 'Song'}"
%22V%22_device,{'Award'}
%22Weird_Al%22_Yankovic,{'MusicalArtist'}
%26TV_(TV_channel),{}
%2768_Comeback,{'Band'}
%27Allo_%27Allo!,"{'Film', 'TelevisionShow'}"
%27Amran_Governorate,"{'Location', 'Settlement'}"
%27Til_I_Can_Make_It_on_My_Own,"{'Single', 'Song'}"
%27Til_I_Gain_Control_Again,"{'Single', 'Song'}"
%27Til_Tuesday,{'Band'}
%27Way_Out,{'TelevisionShow'}
%27s-Hertogenbosch,"{'City', 'Location'}"
%2B/-_(band),{'Band'}
%2B44_(band),{'Band'}
%C2%A1Mayday!,{'Band'}
%C2%A1Vivan_los_ni%C3%B1os!,{'TelevisionShow'}
%C3%81g%C3%BAst_Gu%C3%B0mundsson,{'Person'}
%C3%81gua_Viva_(TV_series),{'TelevisionShow'}
%C3%81guia_de_Marab%C3%A1_Futebol_Clube,"{'SoccerClub', 'SportsTeam'}"
%C3%81guilas_CF,"{'SoccerClub', 'SportsTeam'}"
%C3%81lava,"{'AdministrativeRegion', 'Location', 'Settlement'}"
%C3%81lex_Ubago,{'MusicalArtist'}
%C3%81lex_de_la_Iglesia,{'Person'}
%C3%81lvares_de_Azevedo,{'Writer'}
%C3%81lvaro_Cervera,"{'SoccerManager', 'SoccerPlayer'}"
%C3%81lvaro_G%C3%B3mez_Hurtado,"{'OfficeHolder', 'Politician'}"
%C3%81lvaro_de_Castro,{'OfficeHolder'}
%C3%81ngel_Cordero_Jr.,{'Jockey'}
%C3%81ngel_Custodio_Loyola,{'MusicalArtist'}
%C3%81ngel_Guirado,{'SoccerPlayer'}
%C3%81ngela_(TV_series),{'TelevisionShow'}
%C3%81rp%C3%A1d_G%C3%B6ncz,"{'OfficeHolder', 'Politician'}"
%C3%81sgeir_%C3%81sgeirsson,"{'OfficeHolder', 'Politician'}"
%C3%81vila,"{'Location', 'Town'}"
%C3%84ngelholm,"{'Location', 'Settlement'}"
%C3%84ngelholm_Municipality,"{'Location', 'Town'}"
%C3%84ngelholms_FF,{'SoccerClub'}
%C3%85bo_IFK,{'SoccerClub'}
%C3%85land,{'Settlement'}
%C3%85land_United,{'SoccerClub'}
